scientific_name,predictor,coefficient,se,order,common_name,eBird_spp_codes,Habitat.use,Habitat.type,Notes,HWI,Body.mass,Log.transformed.Body.Mass,TrophicLevel,TrophicNiche,Migration.1,Migration.2,Migration.3,Diet
Psilopogon haemacephalus,lc_01,-2.50743393447869,1.22614827642744,Piciformes,Coppersmith Barbet,copbar1,OC,Generalist,Widespread generalist,25.0825522,46.7,1.648262406,Omnivore,Frugivore,Not a Migrant,1,resident,fruit
Psilopogon haemacephalus,lc_07,-3.41916360185186,1.3370515507765799,Piciformes,Coppersmith Barbet,copbar1,OC,Generalist,Widespread generalist,25.0825522,46.7,1.648262406,Omnivore,Frugivore,Not a Migrant,1,resident,fruit
Acridotheres fuscus,bio4a,2.96744931752776,0.446729077349095,Passeriformes,Jungle Myna,junmyn1,OC,Generalist,Open habitats,24.7162719,82.8,1.918030337,Omnivore,Omnivore,Not a Migrant,2,resident,omnivore
Acridotheres fuscus,lc_07,17.0742899032182,2.98284136936606,Passeriformes,Jungle Myna,junmyn1,OC,Generalist,Open habitats,24.7162719,82.8,1.918030337,Omnivore,Omnivore,Not a Migrant,2,resident,omnivore
Pavo cristatus,bio15a,-1.92295296937388,0.597517662940331,Galliformes,Indian Peafowl,compea,OC,Generalist,forest edges and agricultural land,28.71360931,4194,3.618551168,Omnivore,Omnivore,Not a Migrant,1,resident,omnivore
Pavo cristatus,bio4a,1.39004712422147,0.405208693347111,Galliformes,Indian Peafowl,compea,OC,Generalist,forest edges and agricultural land,28.71360931,4194,3.618551168,Omnivore,Omnivore,Not a Migrant,1,resident,omnivore
Pavo cristatus,lc_05,-2.82860763799252,0.998906858956738,Galliformes,Indian Peafowl,compea,OC,Generalist,forest edges and agricultural land,28.71360931,4194,3.618551168,Omnivore,Omnivore,Not a Migrant,1,resident,omnivore
Acrocephalus dumetorum,bio4a,1.06421556896623,0.463844723447937,Passeriformes,Blyth's Reed Warbler,blrwar1,OC,Generalist,Widespread generalist when it arrives in south India,21.82218576,11.2,1.0492180230000001,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Acrocephalus dumetorum,lc_01,3.28609174086306,1.37454092470814,Passeriformes,Blyth's Reed Warbler,blrwar1,OC,Generalist,Widespread generalist when it arrives in south India,21.82218576,11.2,1.0492180230000001,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Dinopium benghalense,bio4a,-4.21509659775425,0.475875819543014,Piciformes,Black-rumped Flameback,bkrfla1,OC,Forest,wooded habitats but widespread,20.69691878,100,2,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Cinnyris asiaticus,bio4a,1.00730657278923,0.395105146359168,Passeriformes,Purple Sunbird,pursun4,OC,Generalist,Widespread generalist,17.7876848,8.1,0.908485019,Omnivore,Omnivore,Not a Migrant,1,resident,omnivore
Merops orientalis,lc_01,-4.26748563715785,1.9939075108257,Coraciiformes,Green Bee-eater,grbeat1,OC,Generalist,Widespread generalist,35.33244734,14.8,1.170261715,Carnivore,Invertivore,Full Migrant,1,dispersive migratory,invertebrates
Prinia socialis,bio4a,1.64943454114159,0.532334852537001,Passeriformes,Ashy prinia,,OC,Generalist,Open habitats,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prinia socialis,lc_07,3.75422778839986,1.26136477155287,Passeriformes,Ashy prinia,,OC,Generalist,Open habitats,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptopelia chinensis,bio4a,7.13869886523704,0.811424326847596,Columbiformes,Spotted Dove,spodov,OC,Generalist,Widespread generalist,30.6093332,159,2.201397124,Herbivore,Granivore,Full Migrant,1,dispersive migratory,seeds
Streptopelia chinensis,lc_04,20.7850242460711,5.23419630745131,Columbiformes,Spotted Dove,spodov,OC,Generalist,Widespread generalist,30.6093332,159,2.201397124,Herbivore,Granivore,Full Migrant,1,dispersive migratory,seeds
Streptopelia chinensis,lc_05,-2.63290012219099,0.469790344959898,Columbiformes,Spotted Dove,spodov,OC,Generalist,Widespread generalist,30.6093332,159,2.201397124,Herbivore,Granivore,Full Migrant,1,dispersive migratory,seeds
Streptopelia chinensis,lc_07,2.52888662800398,0.87563865975089,Columbiformes,Spotted Dove,spodov,OC,Generalist,Widespread generalist,30.6093332,159,2.201397124,Herbivore,Granivore,Full Migrant,1,dispersive migratory,seeds
Copsychus saularis,bio4a,-0.90284308166555,0.391343074465473,Passeriformes,Oriental Magpie-Robin,magrob,OC,Generalist,Widespread generalist,18.59340096,36,1.556302501,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Copsychus saularis,lc_07,4.93491083546566,1.76549111558419,Passeriformes,Oriental Magpie-Robin,magrob,OC,Generalist,Widespread generalist,18.59340096,36,1.556302501,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Pycnonotus cafer,bio15a,-1.49706315969892,0.538921906461187,Passeriformes,Red-vented Bulbul,revbul,OC,Generalist,Widespread generalist,16.99361609,42.9,1.631950826,Herbivore,Omnivore,Not a Migrant,1,resident,omnivore
Pycnonotus cafer,bio4a,1.54618219230796,0.448301943983274,Passeriformes,Red-vented Bulbul,revbul,OC,Generalist,Widespread generalist,16.99361609,42.9,1.631950826,Herbivore,Omnivore,Not a Migrant,1,resident,omnivore
Centropus sinensis,bio15a,1.8806236608507,0.592296070430841,Cuculiformes,Greater Coucal,grecou1,OC,Generalist,Widespread generalist,13.23180548,283,2.448242413,Carnivore,Vertivore,Not a Migrant,1,resident,vertebrates
Centropus sinensis,bio4a,-1.28842674085994,0.436457642666116,Cuculiformes,Greater Coucal,grecou1,OC,Generalist,Widespread generalist,13.23180548,283,2.448242413,Carnivore,Vertivore,Not a Migrant,1,resident,vertebrates
Centropus sinensis,lc_05,-2.44026338314468,0.382772039980822,Cuculiformes,Greater Coucal,grecou1,OC,Generalist,Widespread generalist,13.23180548,283,2.448242413,Carnivore,Vertivore,Not a Migrant,1,resident,vertebrates
Leptocoma zeylonica,bio4a,-2.03911299558109,0.386581695016674,Passeriformes,Purple-rumped Sunbird,pursun3,OC,Generalist,Widespread generalist,13.88500334,9,0.942999593,Omnivore,Omnivore,Not a Migrant,1,resident,omnivore
Leptocoma zeylonica,lc_09,6.37970924130714,2.84054963485543,Passeriformes,Purple-rumped Sunbird,pursun3,OC,Generalist,Widespread generalist,13.88500334,9,0.942999593,Omnivore,Omnivore,Not a Migrant,1,resident,omnivore
Pycnonotus jocosus,bio4a,-1.69174915045243,0.421546117246606,Passeriformes,Red-whiskered Bulbul,rewbul,OC,Generalist,Widespread generalist,14.25432338,27.4,1.469380136,Herbivore,Omnivore,Not a Migrant,1,resident,omnivore
Pycnonotus jocosus,lc_04,-2.16790687786089,0.318594910610194,Passeriformes,Red-whiskered Bulbul,rewbul,OC,Generalist,Widespread generalist,14.25432338,27.4,1.469380136,Herbivore,Omnivore,Not a Migrant,1,resident,omnivore
Pycnonotus jocosus,lc_07,30.5459564986314,7.34201610369838,Passeriformes,Red-whiskered Bulbul,rewbul,OC,Generalist,Widespread generalist,14.25432338,27.4,1.469380136,Herbivore,Omnivore,Not a Migrant,1,resident,omnivore
Psittacula krameri,bio15a,2.89937628647495,0.778580621928544,Psittaciformes,Rose-ringed Parakeet,rorpar,OC,Generalist,Widespread generalist,47.72960483,116.5,2.064869625,Herbivore,Omnivore,Not a Migrant,1,resident,fruit
Psittacula krameri,lc_03,4.16850924225499,2.03196423501644,Psittaciformes,Rose-ringed Parakeet,rorpar,OC,Generalist,Widespread generalist,47.72960483,116.5,2.064869625,Herbivore,Omnivore,Not a Migrant,1,resident,fruit
Dicrurus macrocercus,bio4a,-1.87868282883184,0.40041734420142,Passeriformes,Black Drongo,bladro1,OC,Generalist,Widespread generalist,27.11140206,48.3,1.683947131,Carnivore,Invertivore,Full Migrant,1,directional migratory,invertebrates
Halcyon smyrnensis,bio15a,2.12490829260888,0.5725141863479,Coraciiformes,White-throated Kingfisher,whtkin2,OC,Generalist,"edges, but water bodies and open areas",20.24597458,91.4,1.960946196,Carnivore,Omnivore,Not a Migrant,2,resident,vertebrates
Halcyon smyrnensis,bio4a,-1.69731118041399,0.386103486349456,Coraciiformes,White-throated Kingfisher,whtkin2,OC,Generalist,"edges, but water bodies and open areas",20.24597458,91.4,1.960946196,Carnivore,Omnivore,Not a Migrant,2,resident,vertebrates
Columba livia,bio15a,1.82995374183256,0.675335241560772,Columbiformes,Rock Pigeon,rocpig,OC,Generalist,Widespread generalist,44.18079137,354.5,2.549248557,Herbivore,Granivore,Not a Migrant,1,resident,seeds
Columba livia,lc_01,-2.83295321082872,1.376950051311,Columbiformes,Rock Pigeon,rocpig,OC,Generalist,Widespread generalist,44.18079137,354.5,2.549248557,Herbivore,Granivore,Not a Migrant,1,resident,seeds
Corvus macrorhynchos,bio15a,3.27644525840252,0.905849473677781,Passeriformes,Large-billed Crow,labcro1,OC,Generalist,Widespread generalist,38.03851875,521,2.71023587,Omnivore,Omnivore,Not a Migrant,1,resident,omnivore
Corvus macrorhynchos,lc_09,4.0694300793042,2.03754097629721,Passeriformes,Large-billed Crow,labcro1,OC,Generalist,Widespread generalist,38.03851875,521,2.71023587,Omnivore,Omnivore,Not a Migrant,1,resident,omnivore
Acridotheres tristis,lc_01,-5.28568561241566,1.71181266752003,Passeriformes,Common Myna,commyn,OC,Generalist,Open habitats,21.84696376,116,2.066064897,Carnivore,Omnivore,Not a Migrant,2,resident,omnivore
Acridotheres tristis,lc_07,-3.53906231539434,1.70379671446582,Passeriformes,Common Myna,commyn,OC,Generalist,Open habitats,21.84696376,116,2.066064897,Carnivore,Omnivore,Not a Migrant,2,resident,omnivore
Corvus splendens,bio15a,1.85044630651976,0.529581298980982,Passeriformes,House Crow,houcro1,OC,Generalist,Widespread generalist,36.62683518,293.5,2.466200102,Omnivore,Omnivore,Not a Migrant,1,resident,scav
Corvus splendens,lc_04,2.50401740804213,1.16686836283385,Passeriformes,House Crow,houcro1,OC,Generalist,Widespread generalist,36.62683518,293.5,2.466200102,Omnivore,Omnivore,Not a Migrant,1,resident,scav
