sampling_event_identifier,nSp,totSoiSeen
S21310802,10,10
S26856022,9,9
S21414041,8,8
S21248969,9,9
S21480837,8,8
S21431430,8,8
S21112273,3,3
S26856009,9,9
S21214720,9,9
S21248980,10,10
S21414796,20,20
S21135738,9,9
S21412739,11,11
S21480851,20,20
S21135768,9,9
S21156704,9,9
S21414088,10,10
S21249074,10,10
S21248943,10,10
S21130338,4,4
S21129520,4,4
S21115331,3,3
S21140633,9,9
S26856206,6,6
S26856017,8,8
S21248978,10,10
S21115329,4,4
S46637573,9,9
S21129522,3,3
S21130340,3,3
S21292110,10,10
S21480856,12,12
S21414225,12,12
S21180286,12,12
S21180732,12,12
S21261625,10,10
S21598875,7,7
S21201971,8,8
S21178156,10,10
S21609088,9,9
S21442116,13,13
S21233235,10,10
S21416488,9,9
S21233137,10,10
S22902781,10,10
S21233139,10,10
S21532418,12,12
S21233107,8,8
S22902780,8,8
S26856026,9,9
S21233105,8,8
S21311316,4,4
S21365031,4,4
S21233103,8,8
S21364996,4,4
S26856024,11,11
S21376952,6,6
S26856007,4,4
S26856208,6,6
S26855985,7,7
S26856018,8,8
S26856025,8,8
S21573708,6,6
S21574126,6,6
S21290964,4,4
S21153281,11,11
S21326141,8,8
S22295742,4,4
S21430224,9,9
S21248890,5,5
S21794509,1,1
S21376888,11,11
S26856014,11,11
S21431504,8,8
S26856016,8,8
S26856012,7,7
S26856006,3,3
S21248948,3,3
S26856010,8,8
S21261683,9,9
S26856212,3,3
S26856204,8,8
S26856013,7,7
S21376934,7,7
S21564074,6,6
S21116917,6,6
S21116983,1,1
S21587572,13,13
S21587448,6,6
S21587519,11,11
S21501259,32,32
S21481460,15,15
S21501455,10,10
S30006004,15,15
S21314834,15,15
S21626385,12,12
S21793191,12,12
S21377203,25,25
S21683592,12,12
S21626383,21,21
S21793193,21,21
S21263071,35,35
S21610587,12,12
S21563114,21,21
S21683602,21,21
S21393285,16,16
S51420594,12,12
S21563125,16,16
S51427576,10,10
S21683637,16,16
S21275320,13,13
S21626377,11,11
S21793149,11,11
S21436246,16,16
S21610680,11,11
S21351532,18,18
S21610770,7,7
S51420536,6,6
S21683629,11,11
S21275025,21,21
S21274913,24,24
S21316412,27,27
S21275066,13,13
S21275108,14,14
S30006007,27,27
S21436384,7,7
S21492839,4,4
S51426976,6,6
S30006015,4,4
S21275436,1,1
S21436337,17,17
S51428130,6,6
S21563876,12,12
S21501468,6,6
S21275354,6,6
S21412078,4,4
S21275127,11,11
S21587207,11,11
S51420511,5,5
S21567887,19,19
S21376925,18,18
S21530207,8,8
S21501437,23,23
S21219320,10,10
S21529535,10,10
