scientific_name,predictor,coefficient,se,order,common_name,eBird_spp_codes,Habitat.use,Habitat.type,Notes,HWI,Body.mass,Log.transformed.Body.Mass,TrophicLevel,TrophicNiche,Migration.1,Migration.2,Migration.3,Diet
Gracula indica,bio_12,8.88503866677046,1.63379461932961,Passeriformes,Southern Hill Myna,sohmyn1,FOR,Forest,forest habitats,22.18829439,126,2.100370545,Herbivore,Frugivore,NA,1,resident,NA
Gracula indica,Ibio_12^2,-4.2725032453567,1.56135348178266,Passeriformes,Southern Hill Myna,sohmyn1,FOR,Forest,forest habitats,22.18829439,126,2.100370545,Herbivore,Frugivore,NA,1,resident,NA
Myophonus horsfieldii,bio_1,13.1225265472239,1.7993657992132,Passeriformes,Malabar Whistling-Thrush,mawthr1,OC,Forest,"forest, forest edges and streams",15.79117285,117,2.068185862,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Myophonus horsfieldii,Ibio_1^2,-14.1904704305695,1.62148012473307,Passeriformes,Malabar Whistling-Thrush,mawthr1,OC,Forest,"forest, forest edges and streams",15.79117285,117,2.068185862,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Myophonus horsfieldii,bio_12,10.9344709621657,1.96086291376991,Passeriformes,Malabar Whistling-Thrush,mawthr1,OC,Forest,"forest, forest edges and streams",15.79117285,117,2.068185862,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Myophonus horsfieldii,Ibio_12^2,-5.36046119885489,1.81975423093113,Passeriformes,Malabar Whistling-Thrush,mawthr1,OC,Forest,"forest, forest edges and streams",15.79117285,117,2.068185862,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Myophonus horsfieldii,lc_01,1.85604620872868,0.605871578615018,Passeriformes,Malabar Whistling-Thrush,mawthr1,OC,Forest,"forest, forest edges and streams",15.79117285,117,2.068185862,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Pericrocotus flammeus,bio_1,11.8834296003572,2.10255850657353,Passeriformes,Orange Minivet,scamin3,FOR,Forest,forest bird,27.33760301,23.3,1.367355921,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Pericrocotus flammeus,Ibio_1^2,-8.875639035757,1.84108821245447,Passeriformes,Orange Minivet,scamin3,FOR,Forest,forest bird,27.33760301,23.3,1.367355921,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Pericrocotus flammeus,bio_12,5.0546489840918,1.36801630670214,Passeriformes,Orange Minivet,scamin3,FOR,Forest,forest bird,27.33760301,23.3,1.367355921,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
